,customer_no,timestamp,location,day,hour,location_after
0,1,2019-09-02 07:03:00,dairy,Monday,7,dairy
1,1,2019-09-02 07:04:00,dairy,Monday,7,checkout
2,1,2019-09-02 07:05:00,checkout,Monday,7,checkout
3,2,2019-09-02 07:03:00,dairy,Monday,7,dairy
4,2,2019-09-02 07:04:00,dairy,Monday,7,dairy
5,2,2019-09-02 07:05:00,dairy,Monday,7,checkout
6,2,2019-09-02 07:06:00,checkout,Monday,7,checkout
7,3,2019-09-02 07:04:00,dairy,Monday,7,dairy
8,3,2019-09-02 07:05:00,dairy,Monday,7,checkout
9,3,2019-09-02 07:06:00,checkout,Monday,7,checkout
10,4,2019-09-02 07:04:00,dairy,Monday,7,dairy
11,4,2019-09-02 07:05:00,dairy,Monday,7,dairy
12,4,2019-09-02 07:06:00,dairy,Monday,7,dairy
13,4,2019-09-02 07:07:00,dairy,Monday,7,checkout
14,4,2019-09-02 07:08:00,checkout,Monday,7,checkout
15,5,2019-09-02 07:04:00,spices,Monday,7,checkout
16,5,2019-09-02 07:05:00,checkout,Monday,7,checkout
17,6,2019-09-02 07:04:00,spices,Monday,7,dairy
18,6,2019-09-02 07:05:00,dairy,Monday,7,dairy
19,6,2019-09-02 07:06:00,dairy,Monday,7,dairy
20,6,2019-09-02 07:07:00,dairy,Monday,7,dairy
21,6,2019-09-02 07:08:00,dairy,Monday,7,dairy
22,6,2019-09-02 07:09:00,dairy,Monday,7,dairy
23,6,2019-09-02 07:10:00,dairy,Monday,7,dairy
24,6,2019-09-02 07:11:00,dairy,Monday,7,dairy
25,6,2019-09-02 07:12:00,dairy,Monday,7,dairy
26,6,2019-09-02 07:13:00,dairy,Monday,7,dairy
27,6,2019-09-02 07:14:00,dairy,Monday,7,dairy
28,6,2019-09-02 07:15:00,dairy,Monday,7,dairy
29,6,2019-09-02 07:16:00,dairy,Monday,7,spices
30,6,2019-09-02 07:17:00,spices,Monday,7,drinks
31,6,2019-09-02 07:18:00,drinks,Monday,7,drinks
32,6,2019-09-02 07:19:00,drinks,Monday,7,drinks
33,6,2019-09-02 07:20:00,drinks,Monday,7,drinks
34,6,2019-09-02 07:21:00,drinks,Monday,7,drinks
35,6,2019-09-02 07:22:00,drinks,Monday,7,drinks
36,6,2019-09-02 07:23:00,drinks,Monday,7,drinks
37,6,2019-09-02 07:24:00,drinks,Monday,7,spices
38,6,2019-09-02 07:25:00,spices,Monday,7,dairy
39,6,2019-09-02 07:26:00,dairy,Monday,7,spices
40,6,2019-09-02 07:27:00,spices,Monday,7,spices
41,6,2019-09-02 07:28:00,spices,Monday,7,checkout
42,6,2019-09-02 07:29:00,checkout,Monday,7,checkout
43,7,2019-09-02 07:04:00,spices,Monday,7,drinks
44,7,2019-09-02 07:05:00,drinks,Monday,7,drinks
45,7,2019-09-02 07:06:00,drinks,Monday,7,drinks
46,7,2019-09-02 07:07:00,drinks,Monday,7,drinks
47,7,2019-09-02 07:08:00,drinks,Monday,7,spices
48,7,2019-09-02 07:09:00,spices,Monday,7,spices
49,7,2019-09-02 07:10:00,spices,Monday,7,fruit
50,7,2019-09-02 07:11:00,fruit,Monday,7,fruit
51,7,2019-09-02 07:12:00,fruit,Monday,7,checkout
52,7,2019-09-02 07:13:00,checkout,Monday,7,checkout
53,8,2019-09-02 07:04:00,fruit,Monday,7,fruit
54,8,2019-09-02 07:05:00,fruit,Monday,7,fruit
55,8,2019-09-02 07:06:00,fruit,Monday,7,checkout
56,8,2019-09-02 07:07:00,checkout,Monday,7,checkout
57,9,2019-09-02 07:06:00,dairy,Monday,7,dairy
58,9,2019-09-02 07:07:00,dairy,Monday,7,dairy
59,9,2019-09-02 07:08:00,dairy,Monday,7,dairy
60,9,2019-09-02 07:09:00,dairy,Monday,7,dairy
61,9,2019-09-02 07:10:00,dairy,Monday,7,dairy
62,9,2019-09-02 07:11:00,dairy,Monday,7,fruit
63,9,2019-09-02 07:12:00,fruit,Monday,7,checkout
64,9,2019-09-02 07:13:00,checkout,Monday,7,checkout
65,10,2019-09-02 07:06:00,fruit,Monday,7,fruit
66,10,2019-09-02 07:07:00,fruit,Monday,7,checkout
67,10,2019-09-02 07:08:00,checkout,Monday,7,checkout
68,11,2019-09-02 07:06:00,drinks,Monday,7,drinks
69,11,2019-09-02 07:07:00,drinks,Monday,7,checkout
70,11,2019-09-02 07:08:00,checkout,Monday,7,checkout
71,12,2019-09-02 07:06:00,spices,Monday,7,drinks
72,12,2019-09-02 07:07:00,drinks,Monday,7,drinks
73,12,2019-09-02 07:08:00,drinks,Monday,7,drinks
74,12,2019-09-02 07:09:00,drinks,Monday,7,checkout
75,12,2019-09-02 07:10:00,checkout,Monday,7,checkout
76,13,2019-09-02 07:06:00,dairy,Monday,7,dairy
77,13,2019-09-02 07:07:00,dairy,Monday,7,dairy
78,13,2019-09-02 07:08:00,dairy,Monday,7,dairy
79,13,2019-09-02 07:09:00,dairy,Monday,7,dairy
80,13,2019-09-02 07:10:00,dairy,Monday,7,dairy
81,13,2019-09-02 07:11:00,dairy,Monday,7,dairy
82,13,2019-09-02 07:12:00,dairy,Monday,7,spices
83,13,2019-09-02 07:13:00,spices,Monday,7,dairy
84,13,2019-09-02 07:14:00,dairy,Monday,7,fruit
85,13,2019-09-02 07:15:00,fruit,Monday,7,checkout
86,13,2019-09-02 07:16:00,checkout,Monday,7,checkout
87,14,2019-09-02 07:06:00,fruit,Monday,7,fruit
88,14,2019-09-02 07:07:00,fruit,Monday,7,fruit
89,14,2019-09-02 07:08:00,fruit,Monday,7,checkout
90,14,2019-09-02 07:09:00,checkout,Monday,7,checkout
91,15,2019-09-02 07:07:00,spices,Monday,7,fruit
92,15,2019-09-02 07:08:00,fruit,Monday,7,fruit
93,15,2019-09-02 07:09:00,fruit,Monday,7,fruit
