,timestamp,cx_id,location,next_loc,prev_loc
0,2019-09-02 07:03:00,1,dairy,checkout,entrance
1,2019-09-02 07:05:00,1,checkout,LEFT,dairy
2,2019-09-02 07:03:00,2,dairy,checkout,entrance
3,2019-09-02 07:06:00,2,checkout,LEFT,dairy
4,2019-09-02 07:04:00,3,dairy,checkout,entrance
5,2019-09-02 07:06:00,3,checkout,LEFT,dairy
6,2019-09-02 07:04:00,4,dairy,checkout,entrance
7,2019-09-02 07:08:00,4,checkout,LEFT,dairy
8,2019-09-02 07:04:00,5,spices,checkout,entrance
9,2019-09-02 07:05:00,5,checkout,LEFT,spices
10,2019-09-02 07:04:00,6,spices,dairy,entrance
11,2019-09-02 07:05:00,6,dairy,spices,spices
12,2019-09-02 07:17:00,6,spices,drinks,dairy
13,2019-09-02 07:18:00,6,drinks,spices,spices
14,2019-09-02 07:25:00,6,spices,dairy,drinks
15,2019-09-02 07:26:00,6,dairy,spices,spices
16,2019-09-02 07:27:00,6,spices,checkout,dairy
17,2019-09-02 07:29:00,6,checkout,LEFT,spices
18,2019-09-02 07:04:00,7,spices,drinks,entrance
19,2019-09-02 07:05:00,7,drinks,spices,spices
20,2019-09-02 07:09:00,7,spices,fruit,drinks
21,2019-09-02 07:11:00,7,fruit,checkout,spices
22,2019-09-02 07:13:00,7,checkout,LEFT,fruit
23,2019-09-02 07:04:00,8,fruit,checkout,entrance
24,2019-09-02 07:07:00,8,checkout,LEFT,fruit
25,2019-09-02 07:06:00,9,dairy,fruit,entrance
26,2019-09-02 07:12:00,9,fruit,checkout,dairy
27,2019-09-02 07:13:00,9,checkout,LEFT,fruit
28,2019-09-02 07:06:00,10,fruit,checkout,entrance
29,2019-09-02 07:08:00,10,checkout,LEFT,fruit
30,2019-09-02 07:06:00,11,drinks,checkout,entrance
31,2019-09-02 07:08:00,11,checkout,LEFT,drinks
32,2019-09-02 07:06:00,12,spices,drinks,entrance
33,2019-09-02 07:07:00,12,drinks,checkout,spices
34,2019-09-02 07:10:00,12,checkout,LEFT,drinks
35,2019-09-02 07:06:00,13,dairy,spices,entrance
36,2019-09-02 07:13:00,13,spices,dairy,dairy
37,2019-09-02 07:14:00,13,dairy,fruit,spices
38,2019-09-02 07:15:00,13,fruit,checkout,dairy
39,2019-09-02 07:16:00,13,checkout,LEFT,fruit
